query,intent
헬로우,0
헬로,0
안녕 안녕 안녕 안녕 안녕 안녕, 0
헬로 헬로 헬로 헬로 헬로 헬로, 0
하이 하이 하이 하이 하이 하이, 0
반가 반가 반가 반가 반가 반가, 0
안녕하세용, 0
안녕해요, 0
안녕합세요, 0
헬로입니다, 0
헬로우입니다,0
안부 인사드립니다.,0
먼저 인사하려고 했는데 짝남이 먼저 인사해줬어. 더 떨렸겠어요.,0
먼저 인사할까 했는데 짝녀가 먼저 인사해줬어. 기분 좋았겠네요.,0
각자 집에 인사드리러 가 제가 더 떨리네요.,0
이별의 마무리 가벼운 안부 인사일 거예요.,0
용기내서 새해인사 했네 이제 연락하지 마세요.,0
오늘 마지막 인사를 하러가네 미련없길 바랄게요.,0
오늘 마지막 인사하러 갑니다. 미련없이 정리했긴 바랍니다.,0
내 마음에 마지막 인사 마음이랑 잘 인사해요.,0
먼저 잘게 잘자 안녕히 주무세요.,0
진짜 이제 안녕 맘고생 많았어요.,0
잘가 안녕.,0
이제 진짜 안녕!! 안녕!,0
이젠 진짜 진짜 안녕 맘 고생 많았어요.,0
안녕을 고하며 잘 보내주었나요.,0
안녕하세 안녕하세요.,0
안녕하세요,0
반가워요,0
반가반가,0
방가방가,0
하이,0
하이헬로,0
헬로,0
하이하이,0
안녕,0
좋은 아침이야,0
진짜 반갑다,0
요즘 어떻게 지냈어요?,0
잘 지냈습니까?,0
잘지내지?,0
만나서 반가워요,0
만나서 반갑습니다,0
하이루,0
반갑,0
잘지냈어요?,0
잘지냈어?,0
나 먼저 잘게 안녕히 주무세요.,0
안녕히 주무세요.,0
안녕 안녕하세요.,0
안녕안녕 안녕하세요.,0
안녕하세요 안녕하세요.,0
안뇽 안녕하세요.,0
자야겠다. 안녕히 주무세요.,0
이제 그만 잘래 안녕히 주무세요.,0
속시원해~~안녕 잘가~~~ 이제 정말 안녕,0
연락 처음에 어떻게 시작함 안녕 이라고 인사부터 해보세요.,0
연락 어떻게 시작함 안녕 이라고 인사부터 해보세요.,0
이제 거리 어디를 나서나 봄기운을 확연히 느낄 수 있는 계절입니다.,0
밝고 생동감 넘치는 사람들의 표정에서도 어느덧 봄 기운을 느낄 수 있습니다.,0
창문 틈으로 새어들어오는 따스한 햇볕이 온 몸을 훈훈하게 해 주는 따스한 계절 봄입니다.,0
따스한 봄 기운이 겨우내 잔뜩 움츠렸던 어깨를 활짝 펴주는 계절의 여왕 봄입니다.,0
일상의 단조로움을 환하게 밝혀주는 희망의 봄이 찾아왔습니다.,0
거리마다 개나리 등 봄꽃들이 마중나와 환한 웃음을 짓게하는 사랑스런 계절 봄이 왔습니다.,0
버들강아지 곱게 물이 오른 새봄의 기운 느끼시나요?,0
얼어있던 들판을 녹이며 솟아오르는 아리랑이가 잠시 잊고 지냈던 그리움을 느끼게 해 줍니다.,0
골목골목마다 봄 내음 물씬 풍겨오는 향기 가득한 계절 봄입니다.,0
무엇이든 할 수 있을 것 같은 활기차고 희망찬 계절 봄이 왔습니다.,0
반가운 손님처럼 어느새 찾아온 봄이 우리 주변을 향긋한 향기로 물들이고 있습니다.,0
좋은 일만 생길 것 같은 가슴 벅찬 설렘 바로 봄이 우리에게 주는 선물이 아닐까 합니다.,0
파릇파릇 새싹이 고개를 내밀며 인사하는 반가운 봄입니다.,0
계절의 여왕 그야말로 생동하는 희망의 계절 봄이 왔습니다.,0
거리를 노랗게 물들인 개나리와 불그스레 어린 신부의 부끄러움을 닮은 진달래꽃들의 향연이 즐거운 봄입니다.,0
맑은 하늘 아래 파릇파릇 봄기운이 흐르고 들녘마다 아지랑이가 피어나는 생동의 계절 봄입니다.,0
새로운 시작과 도전 꿈과 희망 열정이 떠오르는 계절 봄입니다.,0
겨우내 움츠렸던 꽃망울들이 서로 경쟁하듯 톡톡 터지며 저마다의 향기를 뽐내는 봄입니다.,0
어머니께서 가족들을 위해 쑥국과 냉이국을 끓여내던 따뜻한 추억이 문득 떠오르는 계절입니다.,0
겨우내 앙상했던 산들도 어느덧 피어오른 봄꽃들의 향연으로 눈이 즐거운 계절 봄입니다.,0
만물이 생동하는 봄이 왔습니다만 아직 겨울 끝자락의 매서움이 봄바람에 묻어나는 3월입니다.,0
왠지 좋은 인연을 만날 수 잇을 것 같은 사랑하고 싶은 계절 봄입니다.,0
신록의 푸르름에서 생동감을 느낄 수 있는 완연한 봄이 왔습니다.,0
벚꽃 만발한 거리를 걷다보면 꼭 저에게도 꽃내음이 묻어날 것 같네요.,0
우윳빛 목련꽃이 눈부시게 아름다운 봄입니다.,0
언제 겨울이었냐는 듯이 하루가 다르게 초록으로 변하는 산과 들의 향연에 눈이 즐거운 계절 봄입니다.,0
오늘 문득 올려다 본 하늘이 파란 물감을 풀어놓은 듯 너무 아름다웠습니다. 여러분들도 오늘 하루만이라도 머리를 들어 꼭 하늘을 바라보세요. 깊어진 봄 기운을 한껏 느끼실 수 있을 겁니다.,0
흩날리는 벚꽃이 가슴 설레게 하는 4월입니다.,0
모든 걸 훌훌 털어버리고 사랑하는 사람과 함께 봄 향기 가득한 곳으로 훌쩍 떠나고픈 4월입니다.,0
무르익어 가는 봄 코 끝을 스치는 라일락 향기가 마음까지 설레게 하는 계절입니다.,0
사랑하는 사람들이 생각나는 계절의 여왕 봄의 중심 5월입니다.,0
늘 곁에서 힘이 되어주고 용기를 심어주는 가족의 소중함을 새삼 깨닫게 해 주는 가정의 달 5월입니다.,0
산천에 피어있는 아카시아 꽃향기가 저물어가는 봄을 시위라도 하듯 진동하고 있는 황홀한 계절의 여왕 5월입니다.,0
시간이 참 빠른 것 같습니다. 해맞이 행사로 00년 새해를 맞이한 게 정말 엊그제 같은데 벌써 봄을 지나 여름을 향해 가고 있습니다.,0
산천 초목들의 녹음이 짙어가는 싱그러운 계절이 왔습니다.,0
시원한 바다 거센 파도 눈부신 햇살이 문득 그리운 계절 여름이 다가왔습니다.,0
젊은 열기가 느껴지는 젊음의 계절 여름입니다.,0
아카시아 꽃향기가 코끝을 간지럽히는 향기로운 6월입니다.,0
뜨거운 태양아래 무르익어가는 여름들녁에서 힘찬 생명력을 느낄 수 있습니다.,0
봄기운을 미처 만끽하기도 전에 벌써 본격적인 더위가 찾아왔습니다.,0
갑자기 무더워진 날씨로 혹여나 000님들 몸과 마음이 지치고 힘드시지 않을까 걱정입니다.,0
생명력 넘치는 나뭇잎들과 함께 어느새 높아진 기온이 여름이 성큼 다가온 것 같습니다.,0
무더위를 식히려는 듯 시원한 빗줄기가 마른 대지를 적셔주는 초여름입니다.,0
푸른 초록의 싱그러움에 삶이 더욱 활기차게 느껴지는 초여름날 오후에 ~~~~ 시간을 갖게 되어,0
뜨거운 태양이 작열하는 열정의 계절 여름입니다.,0
조금만 걸어도 땀이 비오듯 내리는 무더위네요. 시원한 물 한 잔이 더없이 고맙게 느껴지는 요즘입니다.,0
학창시절 친구들과 계곡에서 맘껏 뛰어놀던 추억이 떠오르는 7월입니다.,0
지치기 쉬운 폭염을 이겨내기 위해서는 잠시라도 하던 일을 멈추고 사랑하는 가족 지인들과 함께하는 즐겁고 유쾌한 시간이 꼭 필요합니다. 여름휴가들은 다녀오셨나요?,0
아직 여름휴가를 다녀오지 않으셨다면 남은 기간 알찬 휴가계획 세우셔서 가까운 산과 바다에서 지친 피로를 말끔히 씻어내시길 바랍니다.,0
따갑게 내리쬐는 여름햇살 때문에 좀처럼 열기가 식지 않는 후덥지근한 저녁날씨에도 불구하고 ~~ 많이 참석해 주신 ~~~~ 께 진심으로 감사의 말씀을 전합니다.,0
더운 날씨로 인해 지친 몸과 마음을 푸르른 산과 시원한 바다로 달려가 그동안 지친 피로를 말끔히 씻어 버리고,0
땡볕이 물고 늘어져 힘든 날씨지만 긴 폭염 속에 들려오는 귀뚜라미 노랫소리가 가을을 알리는 것 같습니다.,0
꽃들이 시간을 다투며 아름답고 우아하게 형형색색 자신들의 매력을 뽐내고 있는 아름다운 계절 여름입니다.,0
풍성한 수확의 계절 여유로움과 넉넉한을 주는 10월 가을향기 가득한 이곳 000에서,0
아침저녁으로 불어오는 신선한 바람이 가을이 멀지 않았음을 알려주는 것 같습니다.,0
노오란 은행잎과 진홍색의 단풍잎들이 아름다운 한 폭의 풍경화를 그려내고,0
천혜의 자연 풍광을 품고 있는 산 언저리에는 감탄스러운 만추의 모습이 연출되고 있습니다.,0
여러분들의 가슴에도 가을햇살 같은 즐거움과 풍성한 행복이 가득하길 바래봅니다.,0
지난달까지만 해도 한낮에는 다소 덥던 날씨가 언제 그랬냐는 듯 청명한 가을날씨를 보이고 있습니다.,0
짧은 가을이 깊어가는 시월이 찾아왔습니다.,0
긴 폭염을 밀어내는 선선한 가을바람이 상쾌함을 전해줍니다.,0
귀뚜라미 울음소리와 귓가에 맴도는 매미소리가 떠나가는 여름을 못내 아쉬워하는 것만 같습니다.,0
황금들녁 먹거리 풍성한 가을입니다. 좋은 사람들과 넉넉한 행복을 나누기 좋은 계절입니다.,0
제각기 풍성하고 아름다운 색채를 뽐내던 가로수들이 어느새 앙상한 가지를 드러내고 있는 것을 보면 겨울이 오긴 온 것 같습니다.,0
한 해를 시작하기 위해 분주히 발걸음을 옮긴 지가 엊그제 같은데 벌써 일년을 정리하는 끝자락에 와있습니다.,0
어느새 헐벗은 나뭇가지를 보니 겨울의 중심에 와 있음을 느낄 수 있습니다.,0
모락모락 길거리 따뜻한 호빵의 유혹을 지나치기 힘든 계절이 찾아왔습니다.,0
아침저녁으로 매서운 바람에 옷깃을 여미게 되는 겨울입니다.,0
가족 연인 친구와 함께 올해 마지막 추억을 만들어 가는 12월입니다.,0
어느새 매서운 바람이 가을을 몰아내고 겨울을 가지고 들어 왔네요.,0
한 해를 보내는 아쉬운 마음과 새해를 맞는 설레임이 교차하는 12월입니다.,0
연초에 다짐했던 계획들 잘 정리하고 계신가요? 남은 날들 계획한 모든 일들이 잘 이루어지기를 바랍니다.,0
찬바람 때문에 몸은 잔뜩 움츠려들지만 12월은 연말연시를 맞아 따뜻한 정을 나눌 수 있는 훈훈한 계절임은 확실한 것 같습니다.,0
올해도 한장의 달력만을 남겨두고 있습니다. 열심히 달려온 우리 자신에게 격려와 박수를 보낼 수 있는 12월이 되었으면 합니다.,0
가로를 뒤덮던 낙엽도 어느새 흔적도 없이 사라지고 이제는 그 자리를 소복히 채워 줄 함박눈이 기다려지는 12월입니다.,0
ㄱㅐ,1
ㄲㅏ,1
ㄲㅑ,1
ㄲㅣ,1
ㅅㅂㄹㅁ,1
ㅅㅐ,1
ㅆㅂㄹㅁ,1
ㅆㅍ,1
ㅆㅣ,1
ㅆ앙,1
ㅍㅏ,1
凸,1
갈보,1
갈보년,1
강아지,1
같은년,1
같은뇬,1
색스,1
개같은,1
개구라,1
개년,1
개놈,1
개뇬,1
개대중,1
개독,1
개돼중,1
개랄,1
개보지,1
개뻥,1
개뿔,1
개새,1
개새기,1
개새끼,1
개새키,1
개색기,1
개색끼,1
개색키,1
개색히,1
개섀끼,1
개세,1
개세끼,1
개세이,1
개소리,1
개쑈,1
개쇳기,1
개수작,1
개쉐,1
개쉐리,1
개쉐이,1
개쉑,1
개쉽,1
개스끼,1
개시키,1
개십새기,1
개십새끼,1
개 q,1
개씹,1
개아들,1
개자슥,1
개자지,1
개접,1
개좆,1
개좌식,1
개허접,1
걔새,1
걔수작,1
걔시끼,1
걔시키,1
걔 y,1
걸레,1
게색기,1
게색끼,1
광뇬,1
구녕,1
구라,1
구멍,1
그년,1
그새끼,1
냄비,1
놈현,1
뇬,1
눈깔,1
뉘미럴,1
니귀미,1
니기미,1
니미,1
니미랄,1
니미럴,1
니미씹,1
니아배,1
니아베,1
니아비,1
니어매,1
니어메,1
니어미,1
닝기리,1
닝기미,1
대가리,1
뎡신,1
도라이,1
돈놈,1
돌아이,1
돌은놈,1
되질래,1
뒈져,1
뒈져라,1
뒈진,1
뒈진다,1
뒈질,1
뒤질래,1
등신,1
디져라,1
디진다,1
디질래,1
딩시,1
따식,1
때놈,1
또라이,1
똘아이,1
뙈놈,1
뙤놈,1
뙨넘,1
뙨놈,1
뚜쟁,1
띠바,1
띠발,1
띠불,1
띠팔,1
메친넘,1
메친놈,1
미췬,1
미친,1
미친넘,1
미친년,1
미친놈,1
미친새끼,1
미친스까이,1
미틴,1
미틴넘,1
미틴년,1
미틴놈,1
바랄년,1
병자,1
뱅마,1
뱅신,1
벼엉신,1
병쉰,1
병신,1
부랄,1
부럴,1
불알,1
불할,1
붕가,1
붙어먹,1
뷰웅,1
븅,1
븅신,1
빌어먹,1
빙시,1
빙신,1
빠가,1
빠구리,1
빠굴,1
빠큐,1
뻐큐,1
뻑큐,1
뽁큐,1
상넘이,1
상놈을,1
상놈의,1
상놈이,1
새갸,1
새꺄,1
새끼,1
새새끼,1
새키,1
색끼,1
생쑈,1
세갸,1
세꺄,1
세끼,1
섹스,1
쇼하네,1
쉐,1
쉐기,1
쉐끼,1
쉐리,1
쉐에기,1
쉐키,1
쉑,1
쉬발,1
쉬밸,1
쉬벌,1
쉬뻘,1
쉬펄,1
쉽알,1
스패킹,1
스팽,1
시궁창,1
시끼,1
시댕,1
시뎅,1
시랄,1
시발,1
시벌,1
시부랄,1
시부럴,1
시부리,1
시불,1
시브랄,1
시팍,1
시팔,1
시펄,1
신발끈,1
심발끈,1
심탱,1
십8,1
십라,1
십새,1
십새끼,1
십세,1
십쉐,1
십쉐이,1
십스키,1
십쌔,1
십창,1
십탱,1
싶알,1
싸가지,1
싹아지,1
쌉년,1
쌍넘,1
쌍년,1
쌍놈,1
쌍뇬,1
쌔끼,1
쌕,1
쌩쑈,1
썅,1
썅년,1
썅놈,1
써벌,1
썩을년,1
썩을놈,1
쎄꺄,1
쎄엑,1
쒸벌,1
쒸뻘,1
쒸팔,1
쒸펄,1
쓰바,1
쓰박,1
쓰발,1
쓰벌,1
쓰팔,1
씁새,1
씁얼,1
씌파,1
씨8,1
씨끼,1
씨댕,1
씨뎅,1
씨바,1
씨바랄,1
씨박,1
씨발,1
씨방,1
씨방새,1
씨방세,1
씨밸,1
씨뱅,1
씨벌,1
씨벨,1
씨봉,1
씨봉알,1
씨부랄,1
씨부럴,1
씨부렁,1
씨부리,1
씨불,1
씨붕,1
씨브랄,1
씨빠,1
씨빨,1
씨뽀랄,1
씨앙,1
씨파,1
씨팍,1
씨팔,1
씨펄,1
씸년,1
씸뇬,1
씸새끼,1
씹같,1
