의도(Intent),개체명(NER),질문(Query),답변(Answer),답변 이미지
인사,,하이,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요. 궁금하신 부분에 대해서 알려드릴게요. :),
인사,,헬로,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,안녕하세요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리 챗봇 강원동입니다.,
인사,,반가워요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리 챗봇 강원동입니다. 궁금하신 점이 있으신가요?,
인사,,먼저 잘게 잘자,네. 안녕히 주무세요 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,진짜 이제 안녕,네 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,안녕하세,안녕하세요. 강원동입니다.,
인사,,좋은 아침이야,좋은 아침입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
욕설,,개새끼,부적절한 질문이거나 답변할 수 없습니다.,
종류,B_CAT,기독교 동아리 종류 알려줘,"""강릉원주대학교의 기독교 동아리는 CCC, JDM이 있습니다.""",
종류,B_CAT,힙합동아리 종류 알려줘,"""강릉원주대학교의 힙합 동아리는 E.G.O 가 있습니다.""",
종류,B_CAT,공연 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 공연 동아리는 OST가 있습니다.""",
종류,B_CAT,어쿠스틱 밴드 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 어쿠스틱 밴드 동아리는 페르마타가 있습니다.""",
종류,B_CAT,여자 댄스 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 여자 댄스 동아리는 뉴를리가 있습니다.""",
종류,B_CAT,밴드 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 밴드 동아리는 프레이즈가 있습니다.""",
종류,B_CAT,치어리딩 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 치어리딩 동아리는 루시우스가 있습니다.""",
종류,B_CAT,패션 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 패션 동아리는 Tag the bills가 있습니다.""",
종류,B_CAT,사진 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 사진 동아리는 해시태그가 있습니다.""",
종류,B_CAT,보드게임 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 보드게임 동아리는 보드홀릭이 있습니다.""",
종류,B_CAT,그림 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 그림 동아리는 팔레트가 있습니다.""",
종류,B_CAT,볼링 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 볼링 동아리는 핀액션이 있습니다.""",
종류,B_CAT,테니스 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 테니스 동아리는 에이스가 있습니다.""",
종류,B_CAT,농구 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 농구 동아리는 스핀 SPIN이 있습니다.""",
종류,B_CAT,봉사 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 봉사 동아리는 RCY가 있습니다.""",
종류,B_CAT,게임 개발 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 게임 개발 동아리는 게임 개발 동아리가 있습니다.""",
종류,B_CAT,취업 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 취업동아리는 깜냥깜냥, 업텐션, GW게이밍, 암행어사 마패, 2025년 취업새내기들, 취뽀가보자, whatever, 굿아이티어, 신재생에너지 및 전력 ICT분야 취업하자!, 간바레가 있습니다.""",
종류,B_CAT,운동 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 운동 관련 동아리는 댄스동아리인 뉴를리, 치어리딩동아리인 루시우스, 볼링동아리인 핀액션, 테니스동아리인 에이스, 농구 동아리인 스핀이 있습니다.""",
종류,B_CAT,음악 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 음악 관련 동아리는 힙합동아리인 E.G.O와 공연동아리인 OST, 어쿠스틱 밴드 동아리인 페르마타, 밴드 동아리인 프레이즈가 있습니다.""",
종류,B_CAT,취미 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 취미 관련 동아리는 패션동아리인 Tag the bills, 사진 동아리인 해시태그, 보드게임 동아리인 보드홀릭, 그림 동아리인 팔레트가 있습니다.""",
종류,B_CAT,종교 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 종교 관련 동아리는 기독교 동아리인 CCC, JDM이 있습니다.""",
종류,B_CAT,공연 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 공연 관련 동아리는 힙합동아리인 E.G.O와 공연동아리인 OST, 어쿠스틱 밴드 동아리인 페르마타, 밴드 동아리인 프레이즈, 여자 댄스 동아리인 뉴를리, 치어리딩 동아리인 루시우스가 있습니다.""",
종류,B_CAT,체육 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 체육 관련 동아리는 댄스동아리인 뉴를리, 치어리딩동아리인 루시우스, 볼링동아리인 핀액션, 테니스동아리인 에이스, 농구 동아리인 스핀이 있습니다.""",
종류,B_CAT,봉사 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 봉사 관련 동아리는 RCY가 있습니다.""",
종류,B_CAT,기독교 관련 동아리 추천해줘,"""강릉원주대학교의 기독교 동아리는 CCC, JDM이 있습니다.""",
종류,B_CAT,힙합 관련 동아리 추천해줘,"""강릉원주대학교의 힙합 동아리는 E.G.O 가 있습니다.""",
종류,B_CAT,밴드 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 밴드 동아리는 페르마타와 프레이즈가 있습니다.""",
종류,B_CAT,치어리딩 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 치어리딩 동아리는 루시우스가 있습니다.""",
종류,B_CAT,패션 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 패션 동아리는 Tag the bills가 있습니다.""",
종류,B_CAT,사진 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 사진 동아리는 해시태그가 있습니다.""",
종류,B_CAT,보드게임 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 보드게임 동아리는 보드홀릭이 있습니다.""",
종류,B_CAT,그림 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 그림 동아리는 팔레트가 있습니다.""",
종류,B_CAT,댄스 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 댄스 관련 동아리는 여자 댄스 동아리인 뉴를리와 치어리딩 동아리인 루시우스가 있습니다.""",
종류,B_CAT,볼링 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 볼링 동아리는 핀액션이 있습니다.""",
종류,B_CAT,테니스 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 테니스 동아리는 에이스가 있습니다.""",
종류,B_CAT,농구 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 농구 동아리는 스핀 SPIN이 있습니다.""",
종류,B_CAT,봉사 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 봉사 동아리는 RCY가 있습니다.""",
종류,B_CAT,게임개발 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 게임 개발 동아리는 게임 개발 동아리가 있습니다.""",
종류,B_CAT,취업 관련 동아리 추천해줘,"""강릉원주대학교 원주캠퍼스의 취업동아리는 깜냥깜냥, 업텐션, GW게이밍, 암행어사 마패, 2025년 취업새내기들, 취뽀가보자, whatever, 굿아이티어, 신재생에너지 및 전력 ICT분야 취업하자!, 간바레가 있습니다.""",
종류,B_OG,강릉원주대학교 동아리 뭐있어?,"""강릉원주대학교 원주캠퍼스의 중앙동아리는 기독교 동아리, 힙합 동아리, 공연 동아리, 어쿠스틱 밴드 동아리 ,여자 댄스 동아리, 밴드 동아리, 치어리딩 동아리, 패션 동아리, 사진 동아리, 보드게임 동아리, 그림 동아리, 볼링 동아리, 테니스 동아리, 농구 동아리, 봉사 동아리, 취업동아리, 창업동아리 등이 있습니다. 어떤 동아리에 대해서 궁금하신가요?""",
종류,B_OG,강릉원주대학교 동아리 뭐뭐있어?,"""강릉원주대학교의 중앙동아리는 기독교 동아리, 힙합 동아리, 공연 동아리, 어쿠스틱 밴드 동아리 ,여자 댄스 동아리, 밴드 동아리, 치어리딩 동아리, 패션 동아리, 사진 동아리, 보드게임 동아리, 그림 동아리, 볼링 동아리, 테니스 동아리, 농구 동아리, 봉사 동아리, 취업동아리, 창업동아리 등이 있습니다.",
종류,B_OG,강릉원주대학교 동아리 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 중앙동아리는 기독교 동아리, 힙합 동아리, 공연 동아리, 어쿠스틱 밴드 동아리 ,여자 댄스 동아리, 밴드 동아리, 치어리딩 동아리, 패션 동아리, 사진 동아리, 보드게임 동아리, 그림 동아리, 볼링 동아리, 테니스 동아리, 농구 동아리, 봉사 동아리, 취업동아리, 창업동아리 등이 있습니다.""",
종류,B_TYP,중앙동아리 분과 종류 알려줘,"""강릉원주대학교 원주캠퍼스의 중앙동아리 분과는 종교분과, 공연분과, 취미분과, 체육분과, 봉사분과가 있습니다.""",
