의도(Intent),개체명(NER),질문(Query),답변(Answer),답변 이미지
인사,,하이,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 질문해주세요. 궁금하신 부분에 대해서 알려드릴게요. :),
인사,,헬로,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,안녕하세요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리 챗봇 강원동입니다.,
인사,,반가워요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리 챗봇 강원동입니다. 궁금하신 점이 있으신가요?,
인사,,안녕,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,먼저 잘게 잘자,네. 안녕히 주무세요 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,진짜 이제 안녕,네 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,잘가,네 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,이제 진짜 안녕!!,네 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,이젠 진짜 진짜 안녕,네 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,안녕을 고하며,네 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,안녕하세,안녕하세요. 강원동입니다.,
인사,,안녕하세요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,반가워요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,반가반가,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,방가방가,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,하이,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,안녕,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,좋은 아침이야,좋은 아침입니다. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,진짜 반갑다,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,요즘 어떻게 지냈어요?,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,잘 지냈습니까?,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,잘지내지?,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,만나서 반가워요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,만나서 반갑습니다,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,하이루,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,반갑,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,잘지냈어요?,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,잘지냈어?,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,나 먼저 잘게,네. 안녕히 주무세요 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,안녕히 주무세요.,네. 안녕히 주무세요 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,안녕,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,안녕안녕,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,안녕하세요,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,안뇽,안녕하세요. 강릉원주대학교 원주캠퍼스 동아리에 대해서 궁금하신 점이 있으신가요?,
인사,,자야겠다.,네. 안녕히 주무세요 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
인사,,이제 그만 잘래,네. 안녕히 주무세요 :) 더 궁금하신 사항이 있으면 언제든지 물어봐 주세요.,
욕설,,ㄱㅐ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㄲㅏ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㄲㅑ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㄲㅣ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅅㅂㄹㅁ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅅㅐ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅆㅂㄹㅁ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅆㅍ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅆㅣ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅆ앙,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,ㅍㅏ,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,凸,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,갈보,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,갈보년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,강아지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,같은년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,같은뇬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,색스,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개같은,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개구라,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개년,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개놈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개뇬,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개대중,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개독,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개돼중,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개랄,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개보지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개뻥,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개뿔,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개새,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개새기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개새키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개색기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개색끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개색키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개색히,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개섀끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개세,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개세끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개세이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개소리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쑈,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쇳기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개수작,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쉐,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쉐리,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쉐이,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쉑,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개쉽,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개스끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개시키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개십새기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개십새끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개 q,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개씹,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개아들,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개자슥,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개자지,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개접,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개좆,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개좌식,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,개허접,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,걔새,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,걔수작,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,걔시끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,걔시키,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,걔 y,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,걸레,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,게색기,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,게색끼,부적절한 질문이거나 답변할 수 없습니다.,
욕설,,광뇬,부적절한 질문이거나 답변할 수 없습니다.,
